recomm_wslrNbr,recomm_wslrAsg
51341,32308
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,32308
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,32308
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,32308
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,32308
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,32308
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,32308
51341,11920
51341,28540
51341,11920
51341,28540
51341,32345
51341,20752
51341,28539
51341,24004
51341,28408
51341,32872
51341,32538
10500,M3794
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
10500,M9952
10500,M4735
43100,N8620
43100,N1974
43100,N7533
43100,N5466
51341,32308
51341,11920
51341,28540
51341,28408
51341,32872
51341,32538
51341,28540
